file_name,page_index,row_index,column_index,text,x_min,y_min,x_max,y_max,confidence,ocr_engine,cell_image_path,page_image_path,text_bbox
PG-14373 - Logs-pages-1.pdf,0,3,8,Classification Symbol,921,849,1016,1085,0.9986130595207214,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c08.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 940, 'y_min': 893, 'x_max': 999, 'y_max': 1063}"
PG-14373 - Logs-pages-1.pdf,0,3,9,"Material Description Fraction, Colour, Structure, Bedding. Plasticity, Sensitivity, Additional",1016,849,1866,1085,0.9860085844993591,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c09.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1231, 'y_min': 924, 'x_max': 1647, 'y_max': 1009}"
PG-14373 - Logs-pages-1.pdf,0,3,10,DCP TEST (AS 1289.6.3.2-1997) Blows per 100 mm 0 5 10 15 20 25,1866,849,2388,1085,0.9966478082868788,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c10.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1869, 'y_min': 895, 'x_max': 2347, 'y_max': 1066}"
PG-14373 - Logs-pages-1.pdf,0,4,0,,177,1085,236,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,1,,236,1085,295,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,2,,295,1085,354,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,3,,354,1085,567,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,4,,567,1085,602,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,5,,602,1085,685,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,6,0.30,685,1085,839,1179,0.9999986290931702,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c06.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 781, 'y_min': 1151, 'x_max': 836, 'y_max': 1178}"
PG-14373 - Logs-pages-1.pdf,0,4,7,,839,1085,921,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c07.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,8,GM,921,1085,1016,1179,0.9998124241828918,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c08.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 944, 'y_min': 1092, 'x_max': 997, 'y_max': 1127}"
PG-14373 - Logs-pages-1.pdf,0,4,9,"FILL Silty Sandy GRAVEL (GM) Dense, fine to coarse sized, light yellow brown, fine to coarse grained sand, low plasticity fines, dry.",1016,1085,1866,1179,0.9934326410293579,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c09.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1027, 'y_min': 1094, 'x_max': 1846, 'y_max': 1154}"
PG-14373 - Logs-pages-1.pdf,0,4,10,,1866,1085,1963,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c10.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,11,,1963,1085,2060,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c11.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,12,,2060,1085,2157,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c12.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,13,,2157,1085,2254,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c13.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,14,,2254,1085,2350,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c14.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,4,15,,2350,1085,2388,1179,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r004_c15.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,0,,177,1179,236,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,1,,236,1179,295,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,2,,295,1179,354,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,3,,354,1179,567,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,4,,567,1179,602,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,5,,602,1179,685,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,6,0.60,685,1179,839,1274,0.9999988079071045,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c06.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 780, 'y_min': 1245, 'x_max': 835, 'y_max': 1273}"
PG-14373 - Logs-pages-1.pdf,0,5,7,,839,1179,921,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c07.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,8,CL-CI,921,1179,1016,1274,0.9407253265380859,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c08.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 933, 'y_min': 1187, 'x_max': 1004, 'y_max': 1216}"
PG-14373 - Logs-pages-1.pdf,0,5,9,"NATURAL Silty Sandy CLAY (CL-CI) Very stiff, Iow to medium plasticity",1016,1179,1866,1274,0.9817476272583008,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c09.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1028, 'y_min': 1189, 'x_max': 1845, 'y_max': 1215}"
PG-14373 - Logs-pages-1.pdf,0,5,10,,1866,1179,1963,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c10.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,11,,1963,1179,2060,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c11.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,12,,2060,1179,2157,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c12.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,13,,2157,1179,2254,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c13.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,14,,2254,1179,2350,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c14.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,5,15,,2350,1179,2388,1274,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r005_c15.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,0,,177,1274,236,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,1,,236,1274,295,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,2,,295,1274,354,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,3,,354,1274,567,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,4,,567,1274,602,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,5,,602,1274,685,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,6,1 1.80,685,1274,839,1652,0.8380229473114014,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c06.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 724, 'y_min': 1389, 'x_max': 835, 'y_max': 1650}"
PG-14373 - Logs-pages-1.pdf,0,6,7,,839,1274,921,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c07.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,8,CL,921,1274,1016,1652,0.9990271925926208,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c08.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 950, 'y_min': 1282, 'x_max': 989, 'y_max': 1311}"
PG-14373 - Logs-pages-1.pdf,0,6,9,"Sandy CLAY (CL) Very stiff, Iow plasticity, light orange brown mottled pale grey, fine to coarse grained sand, dry.",1016,1274,1866,1652,0.982192724943161,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c09.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1028, 'y_min': 1286, 'x_max': 1814, 'y_max': 1341}"
PG-14373 - Logs-pages-1.pdf,0,6,10,,1866,1274,1963,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c10.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,11,,1963,1274,2060,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c11.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,12,,2060,1274,2157,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c12.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,13,,2157,1274,2254,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c13.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,14,,2254,1274,2350,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c14.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,6,15,,2350,1274,2388,1652,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r006_c15.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,0,AD/T,177,1652,236,1935,0.9999432563781738,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 190, 'y_min': 1842, 'x_max': 223, 'y_max': 1914}"
PG-14373 - Logs-pages-1.pdf,0,7,1,,236,1652,295,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,2,,295,1652,354,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,3,,354,1652,567,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,4,,567,1652,602,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,5,,602,1652,685,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,6,2 2.70,685,1652,839,1935,0.9999851286411285,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c06.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 719, 'y_min': 1703, 'x_max': 835, 'y_max': 1933}"
PG-14373 - Logs-pages-1.pdf,0,7,7,,839,1652,921,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c07.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,8,,921,1652,1016,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c08.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,9,"METASILTSTONE (XW) Extremely weathered, extremely low strength, ight orange red brown mottled light yellow.",1016,1652,1866,1935,0.988621324300766,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c09.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1029, 'y_min': 1661, 'x_max': 1831, 'y_max': 1716}"
PG-14373 - Logs-pages-1.pdf,0,7,10,,1866,1652,1963,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c10.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,11,,1963,1652,2060,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c11.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,12,,2060,1652,2157,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c12.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,13,,2157,1652,2254,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c13.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,14,,2254,1652,2350,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c14.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,7,15,,2350,1652,2388,1935,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r007_c15.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,0,,177,1935,236,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,1,,236,1935,295,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,2,,295,1935,354,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,3,,354,1935,567,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,4,,567,1935,602,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,5,,602,1935,685,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,6,3 4.00,685,1935,839,2345,0.9993400573730469,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c06.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 723, 'y_min': 2019, 'x_max': 835, 'y_max': 2343}"
PG-14373 - Logs-pages-1.pdf,0,8,7,,839,1935,921,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c07.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,8,,921,1935,1016,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c08.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,9,"METASILTSTONE (XW) Extremely weathered, extremely low strength light orange grey mottled light purple",1016,1935,1866,2345,0.9872133135795593,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c09.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1029, 'y_min': 1945, 'x_max': 1831, 'y_max': 2001}"
PG-14373 - Logs-pages-1.pdf,0,8,10,,1866,1935,1963,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c10.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,11,,1963,1935,2060,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c11.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,12,,2060,1935,2157,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c12.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,13,,2157,1935,2254,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c13.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,14,,2254,1935,2350,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c14.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,8,15,,2350,1935,2388,2345,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r008_c15.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,9,0,,177,2345,236,2660,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r009_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,9,1,,236,2345,295,2660,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r009_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,9,2,,295,2345,354,2660,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r009_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,9,3,,354,2345,567,2660,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r009_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,9,4,,567,2345,602,2660,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r009_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
PG-14373 - Logs-pages-1.pdf,0,9,5,,602,2345,685,2660,,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r009_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,
